% Model,MT COMSOL Model COMPLETED.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 8 2025, 15:07"
% Dimension,2
% Nodes,18337
% Expressions,2
% Description,"Temperature, Concentration"
% Length unit,m
% x,y,T (K),c (mol/m^3)
0.06787447355069351,0.02,323.2040825194884,4.536449469595495E-5
0.06695551964058924,0.01835082617463589,323.2022974056556,1.3120501226197913E-4
0.06972956670511218,0.019999999999999997,323.2019228344862,1.234824043954443E-4
0.06894698516327581,0.018275827134479387,323.2044273737278,4.4986350710362186E-5
0.0715846598595308,0.02,323.2037008368956,5.5420448601004245E-5
0.07070055945057951,0.01819626933961793,323.20328094359917,7.481328135142903E-5
0.07247745023948113,0.018315484639645243,323.20239088817965,1.2473780508117998E-4
0.07343975301394946,0.02,323.20411286995113,5.6435138919946026E-5
0.07529484616836811,0.02,323.20257036243777,1.3173579320276753E-4
0.07448929259240836,0.018284928584964246,323.2042689588507,4.4620459573069063E-5
0.07714993932278674,0.02,323.2040995564843,6.555221897256008E-5
0.07627743575150109,0.018205761403985235,323.20364336226334,7.663404990143021E-5
0.07803813503529512,0.018329219674528118,323.2033134999606,8.979018475217575E-5
0.07900503247720538,0.02,323.2048298054848,1.4772127480959605E-5
0.08086012563162404,0.02,323.2044403082951,2.8087200868103455E-5
0.08003054920122982,0.01828630463315448,323.2050472611993,1.202482444895306E-5
0.08178275959046277,0.01821942046008727,323.20432810323695,3.5145291412028124E-5
0.08271521878604268,0.02,323.20545755363815,-1.4126268451428982E-5
0.0835218292936219,0.018335095260703028,323.2036603131128,7.686785591846759E-5
0.08457031194046134,0.02,323.2040095028289,6.42137683124012E-5
0.08642540509487998,0.020000000000000004,323.2022088694432,1.7304192579287379E-4
0.08556086785123962,0.018327424058983254,323.20472525178326,3.260561944908548E-5
0.08828049824929862,0.020000000000000004,323.2039367297323,8.853437129919838E-5
0.08736020675937409,0.018217144598713392,323.20327854303855,9.759855609776062E-5
0.08910174555061022,0.01835804602897931,323.2025597175006,1.3115790004851997E-4
