x,y,T,c,mol_flux
0.35114530776993214,0,309.40299843228337,0.334,-0.0013641442939475678
0.35170534813320153,0,309.4024369222699,0.334,-0.0013631597213595117
0.35226538849647093,0,309.4018773780188,0.334,-0.0013621780600631627
0.35282542885974033,0,309.40132075613343,0.334,-0.0013611947822520984
0.35338546922300973,0,309.40076666210985,0.334,-0.0013602118942574334
0.3539455095862792,0,309.400214736952,0.334,-0.0013592294547890669
0.3545055499495486,0,309.3996658102658,0.334,-0.0013582444948892706
0.35506559031281804,0,309.39912007599213,0.334,-0.0013572585931111122
0.35562563067608743,0,309.3985756534628,0.334,-0.001356277771650527
0.35618567103935683,0,309.39803333488425,0.334,-0.0013552983814988213
0.3567457114026263,0,309.3974934552824,0.334,-0.0013543223969198657
0.3573057517658957,0,309.396954014397,0.334,-0.001353354578431079
0.35786579212916503,0,309.3964138434152,0.334,-0.0013523990569725868
0.3584258324924345,0,309.3958721891325,0.334,-0.0013514550063467717
0.35898587285570394,0,309.39533022417595,0.334,-0.0013505111728826413
0.3595459132189734,0,309.39478766687296,0.334,-0.0013495733263956527
0.3601059535822428,0,309.39424454209535,0.334,-0.0013486381305701856
0.3606659939455122,0,309.3937041477702,0.334,-0.001347696920018515
0.3612260343087816,0,309.39316446668187,0.334,-0.0013467497145296572
0.361786074672051,0,309.39262788491635,0.334,-0.0013458002780753966
0.3623461150353203,0,309.39209357312916,0.334,-0.0013448511887724339
0.3629061553985897,0,309.3915621782711,0.334,-0.0013438990398873464
0.3634661957618591,0,309.3910330877902,0.334,-0.0013429457764789886
0.3640262361251287,0,309.39050724111644,0.334,-0.0013419852162399608
0.36458627648839803,0,309.3899829411361,0.334,-0.0013410271338385538
0.36514631685166743,0,309.389459808879,0.334,-0.0013400726627562246
0.36570635721493683,0,309.3889414811893,0.334,-0.00133910440725456
0.3662663975782062,0,309.38842780414325,0.334,-0.0013381368585826986
0.3668264379414756,0,309.3879155133829,0.334,-0.0013371841330669057
0.367386478304745,0,309.38740316753604,0.334,-0.0013362449820039138
0.3679465186680144,0,309.3868896820583,0.334,-0.001335328875321159
0.3685065590312839,0,309.386370304387,0.334,-0.0013344454127500037
