r,z,T (K)
0.003181260501,0.04017338247,384.817768
0,0.04218680091,385.8028416
0.009469236878,0.0319253607,380.8415407
0.0125,0.03409897223,381.8456129
0.003180466036,0.04490560494,387.1276905
0,0.0470384509,388.1868263
0.009419279972,0.03625426051,382.8995487
0.0125,0.038646993,384.0229346
0.003173912228,0.04968753515,389.4972546
0,0.05189010077,390.6078776
0.003170055778,0.05445620635,391.8967825
0,0.05674175064,393.0676467
0.003162993172,0.0592453643,394.3451981
0,0.06159340051,395.5680127
0.009393628468,0.04080543179,385.0932513
0.0125,0.04334003257,386.3019024
0.003175810542,0.06395527017,396.7928593
0,0.06644505038,398.1116513
0.003106772582,0.06869533153,399.2985099
0,0.07129670026,400.7022444
0.009402056518,0.04545403835,387.3659041
0.0125,0.0480475285,388.6212242
0.002940578699,0.07790508862,404.2947753
0,0.081,406
0,0.07614835013,403.3361648
0.003917693353,0.07358773111,401.9306767
0.009400400065,0.05015317168,389.6971064
0.0125,0.05275502443,390.9747614
0.004166666667,0.081,406
0.009398414767,0.05487828665,392.0765769
0.0125,0.05746252036,393.3638589
0.009402067167,0.05959828089,394.4905148
0.0125,0.06217001628,395.7903822
0.009423894228,0.06431913696,396.9439919
0.0125,0.06687751221,398.2569987
0.00627692406,0.07750998077,404.0674202
0.008333333333,0.081,406
0.008674293634,0.07375624491,401.9910895
0.0125,0.07158500814,400.7672239
0.0125,0.07629250407,403.33119
0.009541679965,0.06915697123,399.5014669
0.009527316518,0.07801684629,404.3297601
0.0125,0.081,406
0.002109351149,0.00146219753,368.5092151
0.002112402545,0.002423433771,368.646486
0.002957321572,0.001730338048,368.4751813
0.00404895422,0.001939271702,368.3861778
0.005207215683,0.002079039367,368.2390392
0.002360897388,0.003736020603,368.9043308
0.003306141214,0.002852288219,368.6362107
0.006292171393,0.002042101553,368.02425
0.007299554314,0.0016679278,367.6903363
0.00827748676,0.001966790218,367.5205312
0.009470891185,0.002004811348,367.224432
0.01066667894,0.002032107614,366.9958357
0.004590605543,0.003122890186,368.5606234
0.005925036119,0.003184735455,368.3946199
0.002664718819,0.005180947975,369.2849053
0.00378942374,0.004221424425,368.9298764
0.007372504167,0.002984631949,368.080668
0.008735337475,0.002901472948,367.7915405
0.01003893119,0.003421909614,367.8224248
0.00527086751,0.004460416677,368.8663555
0.006816852419,0.004419332996,368.6793989
0.00263806894,0.006592843141,369.7445054
0.004258410987,0.006030155825,369.4705833
0.008516404847,0.004351412502,368.4389866
0.01009297043,0.004799061174,368.4799237
0.006157224577,0.005883643561,369.2845668
0.007659253394,0.005651200327,369.0696826
0.003659798119,0.008194815619,370.2930892
0.005475824851,0.00732431943,369.8829714
0.009323369394,0.00618050386,369.1681708
0.007482925384,0.007421212169,369.8137901
0.009478740797,0.007933777605,369.9411597
0.003981209344,0.01068847009,371.2875318
0.005860141374,0.00919983711,370.6229459
0.008550642571,0.009791731771,370.7882791
0.004229319157,0.01316210906,372.3322035
0.006612701079,0.01183871973,371.7235673
0.009001312577,0.01195401002,371.7279106
0.004553749756,0.0158282094,373.4925775
0.006195422988,0.01418625256,372.7533657
0.008318049896,0.01389469181,372.5959894
0.004959039585,0.01833171965,374.6039646
0.007371277574,0.016484943,373.7583057
0.005181566285,0.02112816714,375.8642056
0.007508432267,0.01957919944,375.1472806
0.005849673466,0.0239782757,377.1627587
0.007433504033,0.02192824739,376.2147314
0.006988447131,0.02647224033,378.3071278
0.006484869856,0.02961885496,379.776096
0.006350089664,0.03380211794,381.7494811
0.00630364787,0.03824567029,383.8745978
0.006298404104,0.04284769099,386.1067927
0.006312861438,0.04755367691,388.4228455
0.006291703601,0.05228938222,390.7888558
0.00629631097,0.05701134512,393.1843728
0.006293781906,0.0617483808,395.6262441
0.006301615357,0.06636088734,398.0440902
0.006314690171,0.07029863354,400.1412446
0.01335063483,6.37E-04,347.795686
0.01440438565,0.001066627884,339.0944234
0.01341781343,0.001728381168,354.0484734
0.03525850138,8.05E-04,300.8908869
0.03475714286,0,299.3938027
0.0358047619,0,299.1632273
0.01580958921,7.04E-04,327.8815185
0.01657549255,6.86E-04,325.7574609
0.01694761905,0,321.2035718
0.01759495236,7.60E-04,324.2661217
0.0179952381,0,320.8658114
0.03625635195,7.51E-04,300.5267294
0.03685238095,0,298.9313181
0.03713988428,7.20E-04,300.2681656
0.0379,0,298.7278965
0.01349781997,0.002965043931,357.258253
0.03422208119,8.79E-04,301.357941
0.03370952381,0,299.6458243
0.03314699097,8.78E-04,301.7599993
0.03266190476,0,299.9400217
0.03161428571,0,300.3672374
0.0320340141,9.57E-04,302.4895297
0.03056666667,0,301.1602146
0.03102147107,9.75E-04,303.2434037
0.01859501801,8.42E-04,323.0437033
0.01904285714,0,320.1457527
0.0379,0.001122506281,300.896456
0.01352369911,0.004334304769,359.7704234
0.02951904762,0,302.3410401
0.02991603107,9.66E-04,304.2799944
0.02847142857,0,303.7320325
0.02890138193,9.86E-04,305.5441861
0.02637619048,0,307.8376404
0.02742380952,0,306.0552272
0.0267983312,9.73E-04,308.6190795
0.02780902729,9.71E-04,307.1325817
0.02428095238,0,307.653503
0.02532857143,0,307.7663281
0.02470819162,9.53E-04,310.4568702
0.02570697552,9.57E-04,309.6818724
0.02009047619,0,319.2767907
0.01959944805,9.35E-04,321.6711241
0.02113809524,0,317.412369
0.02062352022,9.32E-04,319.608953
0.02164183592,8.77E-04,316.6161885
0.02218571429,0,311.8870227
0.02323333333,0,308.249828
0.02364898903,9.19E-04,311.5090678
0.0226678904,8.76E-04,313.4134626
0.0379,0.002363882709,303.1737794
0.03679699607,0.001765694844,302.3271154
0.01380579828,0.005770324757,359.7903286
0.0379,0.003736717289,305.5883366
0.03667156037,0.003160846776,304.9249274
0.01411114948,0.007318382592,359.8317731
0.0379,0.00525493043,308.1234967
0.0365782404,0.004545095777,307.3908542
0.01423022737,0.009142085995,361.042919
0.01430831885,0.01110755639,362.4049826
0.0379,0.006933917557,310.7599148
0.03640749855,0.006073469236,310.014777
0.01445725098,0.01331530974,363.4321892
0.0379,0.008790704405,313.4687607
0.03625016348,0.007800713569,312.8023791
0.01470224512,0.01560235578,364.067441
0.01477428659,0.01834135631,365.6509121
0.0379,0.01084411872,316.2240222
0.03604336237,0.009754194994,315.759657
0.0151825635,0.02136188064,366.1064989
0.0379,0.0131149835,318.9956821
0.03578340224,0.01190059733,318.7962994
0.01552815852,0.02442101165,366.8084965
0.0379,0.0156263254,321.7445898
0.03561102958,0.01428360759,321.8096289
0.01568572488,0.02801425946,368.342447
0.0355561826,0.01698484992,324.7757209
0.0379,0.01840361064,324.4346664
0.0158566801,0.03208100939,369.9836141
0.03553478221,0.02001657944,327.6719519
0.0379,0.02147500174,327.0265271
0.01597952468,0.03648524031,371.8147785
0.0379,0.02487164327,329.4842536
0.03498259361,0.02307154233,330.6652943
0.0160628275,0.04110331051,373.7407086
0.0379,0.02862797847,331.7931627
0.03438541256,0.02654955516,333.7317566
0.01610017474,0.04580585859,375.7062467
0.0379,0.03278209788,333.9124129
0.03435128755,0.0305980032,336.2121756
0.01611573043,0.05050935311,377.6006498
0.03428111258,0.03508276926,338.507904
0.0379,0.03736181717,335.8146492
0.01611917126,0.05523860792,379.3900768
0.03426754047,0.03968435779,340.354151
0.0379,0.04218680091,337.3847953
0.01611135821,0.05993130506,381.0094564
0.01606149701,0.06454717251,382.5121583
0.01580878565,0.06907066645,384.4471681
0.03425855698,0.04445535514,341.8427415
0.0379,0.0470384509,338.5582325
0.01556600165,0.07797232127,384.8260432
0.01641164292,0.07396303239,381.8633373
0.03425683214,0.04924909215,342.9134775
0.0379,0.05189010077,339.3222867
0.01673333333,0.081,374.6363551
0.03424810886,0.05407169305,343.5558059
0.0379,0.05674175064,339.6382196
0.01894535388,0.07757015657,369.7004579
0.02096666667,0.081,358.4493671
0.03422626248,0.05887514107,343.7082188
0.0379,0.06159340051,339.4274897
0.02304535306,0.07743666981,356.8090478
0.0252,0.081,347.8428436
0.0341697902,0.06364668115,343.3057095
