G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
MW1_Shell_Correct,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
4/7/2025 2:43:23 PM.94,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.61,2.58,0,2.59
4/7/2025 2:43:24 PM.43,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.08,24,-2.62,2.57,0,2.59
4/7/2025 2:43:24 PM.93,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.61,2.59,0,2.6
4/7/2025 2:43:25 PM.44,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.59,2.58,0,2.58
4/7/2025 2:43:25 PM.94,40.1,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0,0.1,0.1,24,-2.6,2.58,0,2.59
4/7/2025 2:43:26 PM.43,40.1,33,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.6,2.58,0,2.59
4/7/2025 2:43:26 PM.94,40,32.9,15.2,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.61,2.59,0,2.6
4/7/2025 2:43:27 PM.44,40,33,15.2,21.7,0.1,7.6,0.1,0.1,0,0.1,0.09,25,-2.61,2.59,0,2.6
4/7/2025 2:43:27 PM.94,39.9,32.9,15.1,21.7,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.55,2.62,0,2.59
4/7/2025 2:43:28 PM.44,40,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.57,2.64,0,2.6
4/7/2025 2:43:28 PM.94,39.9,32.9,15,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.58,2.64,0,2.61
4/7/2025 2:43:29 PM.44,39.9,32.9,15,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.58,2.64,0,2.61
4/7/2025 2:43:29 PM.94,39.9,32.9,15,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.6,2.66,0,2.63
4/7/2025 2:43:30 PM.43,39.9,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.6,2.66,0,2.63
4/7/2025 2:43:30 PM.94,39.9,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.6,2.64,0,2.62
4/7/2025 2:43:31 PM.44,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.08,24,-2.58,2.62,0,2.6
4/7/2025 2:43:31 PM.94,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0,0.1,0.09,24,-2.58,2.63,0,2.6
4/7/2025 2:43:32 PM.44,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.59,2.62,0,2.6
4/7/2025 2:43:32 PM.94,40,32.9,15.1,21.5,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.59,2.6,0,2.59
